,State,month,Confirmed
274,MA,June,664284
275,MD,June,462279
276,ME,June,69034
277,MI,June,1000019
278,MN,June,605365
279,MO,June,618734
280,MS,June,321764
281,MT,June,113755
282,NC,June,1013700
283,ND,June,110666
284,NE,June,224488
285,NH,June,100217
286,NJ,June,1023395
287,NM,June,198587
288,NV,June,333712
289,NY,June,2069264
290,OH,June,1111324
291,OK,June,457492
292,OR,June,208637
293,PA,June,1212071
294,RI,June,152613
295,SC,June,596840
296,SD,June,124536
297,TN,June,866964
298,TX,June,2989527
299,UT,June,415139
300,VA,June,680340
301,VT,June,24410
302,WA,June,451595
303,WI,June,677622
304,WV,June,164041
305,WY,June,62290
306,AK,July,74819
307,AL,July,588357
308,AR,July,385113
309,AZ,July,925170
310,CA,July,3839907
311,CO,July,575082
312,CT,July,354335
313,DC,July,50398
314,DE,July,111275
315,FL,July,2607697
316,GA,July,932145
317,HI,July,41925
318,IA,July,378831
319,ID,July,200484
320,IL,July,1419611
321,IN,July,774933
322,KS,July,332933
323,KY,July,482599
324,LA,July,541679
325,MA,July,672972
326,MD,July,468548
327,ME,July,70463
328,MI,July,1011106
329,MN,July,612701
330,MO,July,679581
331,MS,July,343505
332,MT,July,116366
333,NC,July,1048086
334,ND,July,111644
335,NE,July,228450
336,NH,July,101387
337,NJ,July,1038171
338,NM,July,203092
339,NV,July,356401
340,NY,July,2104988
341,OH,July,1127808
342,OK,July,474845
343,OR,July,219755
344,PA,July,1224500
345,RI,July,154339
346,SC,July,617148
347,SD,July,125207
348,TN,July,893554
349,TX,July,3125699
350,UT,July,432467
351,VA,July,694384
352,VT,July,24889
353,WA,July,473076
354,WI,July,687198
355,WV,July,167015
356,WY,July,65127
357,AK,August,79030
358,AL,August,637363
359,AR,August,419809
360,AZ,August,967863
361,CA,August,4033203
362,CO,August,592372
363,CT,August,363417
364,DC,August,52777
365,DE,August,114770
366,FL,August,2880230
367,GA,August,996653
368,HI,August,51739
369,IA,August,387273
370,ID,August,209410
371,IL,August,1466813
372,IN,August,807034
373,KS,August,350384
374,KY,August,518987
375,LA,August,628146
376,MA,August,689528
377,MD,August,480718
378,ME,August,72522
379,MI,August,1032520
380,MN,August,626310
381,MO,August,722399
382,MS,August,388986
383,MT,August,120325
384,NC,August,1122413
385,ND,August,113404
386,NE,August,232399
387,NH,August,104036
388,NJ,August,1062238
389,NM,August,212118
390,NV,August,373649
391,NY,August,2162862
392,OH,August,1161573
393,OK,August,500311
394,OR,August,242843
395,PA,August,1251965
396,RI,August,157589
397,SC,August,667352
398,SD,August,126454
399,TN,August,954610
400,TX,August,3329808
401,UT,August,446808
402,VA,August,723727
403,VT,August,26040
404,WA,August,514903
405,WI,August,707327
406,WV,August,173479
407,WY,August,68272
408,AK,September,7824
409,AL,September,154701
410,AR,September,83697
411,AZ,September,218507
412,CA,September,818915
413,CO,September,70536
414,CT,September,57550
415,DC,September,15326
416,DE,September,20613
417,FL,September,706516
418,GA,September,318026
419,HI,September,12410
420,IA,September,88555
421,ID,September,42048
422,IL,September,293231
423,IN,September,122509
424,KS,September,60648
425,KY,September,68840
426,LA,September,166033
427,MA,September,138442
428,MD,September,124725
429,ME,September,5391
430,MI,September,138014
431,MN,September,99134
432,MO,September,126113
433,MS,September,98190
434,MT,September,13071
435,NC,September,211798
436,ND,September,21846
437,NE,September,45276
438,NH,September,8266
439,NJ,September,205275
440,NM,September,28574
441,NV,September,79980
442,NY,September,455553
443,OH,September,153988
444,OK,September,87199
445,OR,September,33509
446,PA,September,158967
447,RI,September,23548
448,SC,September,147942
449,SD,September,22389
450,TN,September,196139
451,TX,September,759529
452,UT,September,73080
453,VA,September,148271
454,VT,September,1752
455,WA,September,87523
456,WI,September,129123
457,WV,September,15848
458,WY,September,5948
459,AK,October,15273
460,AL,October,192285
461,AR,October,112190
462,AZ,October,245946
463,CA,October,931793
464,CO,October,104426
465,CT,October,71207
466,DC,October,17266
467,DE,October,24946
468,FL,October,802545
469,GA,October,360728
470,HI,October,15071
471,IA,October,127356
472,ID,October,64608
473,IL,October,402389
474,IN,October,182131
475,KS,October,86774
476,KY,October,107214
477,LA,October,182254
478,MA,October,165304
479,MD,October,145281
480,ME,October,6667
481,MI,October,197406
482,MN,October,150672
483,MO,October,185534
484,MS,October,120498
485,MT,October,32767
486,NC,October,269459
487,ND,October,43916
488,NE,October,70206
489,NH,October,11084
490,NJ,October,237886
491,NM,October,44959
492,NV,October,100701
493,NY,October,503614
494,OH,October,215698
495,OK,October,122762
496,OR,October,44921
497,PA,October,208027
498,RI,October,29779
499,SC,October,176612
500,SD,October,45992
501,TN,October,260670
502,TX,October,913106
503,UT,October,114780
504,VA,October,181178
505,VT,October,2179
506,WA,October,107499
507,WI,October,237870
508,WV,October,24459
509,WY,October,11826
510,AK,November,25934
511,AL,November,249523
512,AR,November,157359
513,AZ,November,326817
514,CA,November,1228026
515,CO,November,232904
516,CT,November,117295
517,DC,November,21552
518,DE,November,35680
519,FL,November,999319
520,GA,November,422121
521,HI,November,17925
522,IA,November,228978
523,ID,November,101697
524,IL,November,726285
525,IN,November,341970
526,KS,November,159904
527,KY,November,179041
528,LA,November,232414
529,MA,November,229151
530,MD,November,198370
531,ME,November,11982
532,MI,November,388941
533,MN,November,318763
534,MO,November,302690
535,MS,November,153270
536,MT,November,66382
537,NC,November,364505
538,ND,November,78656
539,NE,November,127362
540,NH,November,20994
541,NJ,November,337304
542,NM,November,94102
543,NV,November,150382
544,NY,November,641260
545,OH,November,421063
546,OK,November,197743
547,OR,November,75431
548,PA,November,361478
549,RI,November,48325
550,SC,November,217487
551,SD,November,80464
552,TN,November,374491
553,TX,November,1181490
554,UT,November,195802
555,VA,November,237813
556,VT,November,4172
557,WA,November,164975
558,WI,November,411730
559,WV,November,47841
560,WY,November,33305
561,AK,December,45213
562,AL,December,361226
563,AR,December,225138
564,AZ,December,520207
565,CA,December,2245391
566,CO,December,334082
567,CT,December,185708
568,DC,December,28983
569,DE,December,57456
570,FL,December,1323315
571,GA,December,566675
572,HI,December,18951
573,IA,December,280303
574,ID,December,141074
575,IL,December,963361
576,IN,December,514732
577,KS,December,225353
578,KY,December,265262
579,LA,December,315264
580,MA,December,341523
581,MD,December,276662
582,ME,December,24197
583,MI,December,528588
584,MN,December,415302
585,MO,December,378887
586,MS,December,215811
587,MT,December,81553
588,NC,December,537414
589,ND,December,91828
590,NE,December,165546
591,NH,December,44028
